date,venue,teams,toss_winner,toss_decision,match_winner,players
2022-04-30,"Brabourne Stadium, Mumbai","('Gujarat Titans', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,bat,Gujarat Titans,"(('AS Joseph', 'B Sai Sudharsan', 'DA Miller', 'HH Pandya', 'LH Ferguson', 'Mohammed Shami', 'PJ Sangwan', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'WP Saha'), ('F du Plessis', 'GJ Maxwell', 'HV Patel', 'JR Hazlewood', 'KD Karthik', 'MK Lomror', 'Mohammed Siraj', 'PWH de Silva', 'RM Patidar', 'Shahbaz Ahmed', 'V Kohli'))"
2022-04-10,"Wankhede Stadium, Mumbai","('Lucknow Super Giants', 'Rajasthan Royals')",Lucknow Super Giants,field,Rajasthan Royals,"(('A Badoni', 'Avesh Khan', 'DJ Hooda', 'JO Holder', 'K Gowtham', 'KH Pandya', 'KL Rahul', 'MP Stoinis', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'), ('D Padikkal', 'HE van der Dussen', 'JC Buttler', 'KR Sen', 'M Prasidh Krishna', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YS Chahal'))"
2008-04-20,Eden Gardens,"('Deccan Chargers', 'Kolkata Knight Riders')",Deccan Chargers,bat,Kolkata Knight Riders,"(('A Symonds', 'AC Gilchrist', 'AS Yadav', 'PP Ojha', 'RG Sharma', 'RP Singh', 'SB Bangar', 'SB Styris', 'VVS Laxman', 'WPUJC Vaas', 'Y Venugopal Rao'), ('AB Agarkar', 'AB Dinda', 'BB McCullum', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'M Kartik', 'Mohammad Hafeez', 'RT Ponting', 'SC Ganguly', 'WP Saha'))"
2019-04-27,Sawai Mansingh Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Rajasthan Royals,field,Rajasthan Royals,"(('AJ Turner', 'AM Rahane', 'JD Unadkat', 'LS Livingstone', 'O Thomas', 'R Parag', 'S Gopal', 'SPD Smith', 'STR Binny', 'SV Samson', 'VR Aaron'), ('B Kumar', 'DA Warner', 'DJ Hooda', 'KK Ahmed', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Kaul', 'Shakib Al Hasan', 'V Shankar', 'WP Saha'))"
2025-03-31,"Wankhede Stadium, Mumbai","('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('A Raghuvanshi', 'AD Russell', 'AM Rahane', 'CV Varun', 'Harshit Rana', 'MK Pandey', 'Q de Kock', 'RK Singh', 'Ramandeep Singh', 'SH Johnson', 'SP Narine', 'VR Iyer'), ('Ashwani Kumar', 'DL Chahar', 'HH Pandya', 'MJ Santner', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'V Puthur', 'WG Jacks'))"
2011-04-09,Nehru Stadium,"('Kochi Tuskers Kerala', 'Royal Challengers Bangalore')",Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'M Muralitharan', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RV Gomez', 'S Sreesanth', 'VVS Laxman'), ('A Mithun', 'AB de Villiers', 'AUK Pathan', 'CA Pujara', 'DL Vettori', 'DP Nannes', 'MA Agarwal', 'SS Tiwary', 'TM Dilshan', 'V Kohli', 'Z Khan'))"
2009-04-23,Kingsmead,"('Chennai Super Kings', 'Delhi Daredevils')",Delhi Daredevils,bat,Delhi Daredevils,"(('A Flintoff', 'JA Morkel', 'Joginder Sharma', 'L Balaji', 'M Muralitharan', 'ML Hayden', 'MS Dhoni', 'MS Gony', 'PA Patel', 'S Badrinath', 'SK Raina'), ('A Nehra', 'AB de Villiers', 'AM Salvi', 'DL Vettori', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'MK Tiwary', 'PJ Sangwan', 'TM Dilshan', 'V Sehwag'))"
2020-11-02,Sheikh Zayed Stadium,"('Delhi Capitals', 'Royal Challengers Bangalore')",Delhi Capitals,field,Delhi Capitals,"(('A Nortje', 'AM Rahane', 'AR Patel', 'DR Sams', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SS Iyer'), ('AB de Villiers', 'CH Morris', 'D Padikkal', 'I Udana', 'JR Philippe', 'Mohammed Siraj', 'S Dube', 'Shahbaz Ahmed', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2013-04-27,Sawai Mansingh Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Rajasthan Royals,"(('A Chandila', 'AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'KK Cooper', 'R Dravid', 'SK Trivedi', 'SR Watson', 'STR Binny', 'Sachin Baby'), ('A Ashish Reddy', 'A Mishra', 'DJG Sammy', 'DW Steyn', 'GH Vihari', 'I Sharma', 'KC Sangakkara', 'KV Sharma', 'NLTC Perera', 'PA Reddy', 'S Dhawan'))"
2009-05-10,St George's Park,"('Mumbai Indians', 'Royal Challengers Bangalore')",Mumbai Indians,bat,Mumbai Indians,"(('AM Nayar', 'AM Rahane', 'C Nanda', 'DJ Bravo', 'DS Kulkarni', 'Harbhajan Singh', 'JP Duminy', 'SL Malinga', 'SR Tendulkar', 'ST Jayasuriya', 'YV Takawale'), ('A Kumble', 'A Mithun', 'JH Kallis', 'KP Appanna', 'LRPL Taylor', 'MV Boucher', 'R Dravid', 'R Vinay Kumar', 'RE van der Merwe', 'RV Uthappa', 'V Kohli'))"
2023-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","('Delhi Capitals', 'Sunrisers Hyderabad')",Delhi Capitals,bat,Delhi Capitals,"(('A Nortje', 'AR Patel', 'Aman Hakim Khan', 'DA Warner', 'I Sharma', 'Kuldeep Yadav', 'MK Pandey', 'MR Marsh', 'Mukesh Kumar', 'PD Salt', 'RV Patel', 'SN Khan'), ('AK Markram', 'Abhishek Sharma', 'B Kumar', 'H Klaasen', 'HC Brook', 'M Jansen', 'M Markande', 'MA Agarwal', 'RA Tripathi', 'T Natarajan', 'Umran Malik', 'Washington Sundar'))"
2021-04-09,"MA Chidambaram Stadium, Chepauk, Chennai","('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('CA Lynn', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'M Jansen', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'), ('AB de Villiers', 'DT Christian', 'GJ Maxwell', 'HV Patel', 'KA Jamieson', 'Mohammed Siraj', 'RM Patidar', 'Shahbaz Ahmed', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2024-04-27,"Arun Jaitley Stadium, Delhi","('Delhi Capitals', 'Mumbai Indians')",Mumbai Indians,field,Delhi Capitals,"(('AR Patel', 'Abishek Porel', 'J Fraser-McGurk', 'KK Ahmed', 'Kuldeep Yadav', 'Kumar Kushagra', 'LB Williams', 'Mukesh Kumar', 'RR Pant', 'Rasikh Salam', 'SD Hope', 'T Stubbs'), ('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'L Wood', 'Mohammad Nabi', 'N Thushara', 'N Wadhera', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David', 'Tilak Varma'))"
2016-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali","('Kings XI Punjab', 'Mumbai Indians')",Kings XI Punjab,field,Mumbai Indians,"(('AR Patel', 'DA Miller', 'GJ Maxwell', 'M Vijay', 'M Vohra', 'MG Johnson', 'MM Sharma', 'NS Naik', 'P Sahu', 'SE Marsh', 'Sandeep Sharma'), ('AT Rayudu', 'HH Pandya', 'Harbhajan Singh', 'JC Buttler', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'PA Patel', 'RG Sharma', 'TG Southee'))"
2010-04-15,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Delhi Daredevils')",Chennai Super Kings,bat,Delhi Daredevils,"(('DE Bollinger', 'JA Morkel', 'L Balaji', 'M Vijay', 'MEK Hussey', 'ML Hayden', 'MS Dhoni', 'R Ashwin', 'S Badrinath', 'SB Jakati', 'SK Raina'), ('A Mishra', 'A Nehra', 'DA Warner', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'M Manhas', 'PD Collingwood', 'TM Dilshan', 'UT Yadav', 'V Sehwag'))"
2011-05-15,Himachal Pradesh Cricket Association Stadium,"('Delhi Daredevils', 'Kings XI Punjab')",Delhi Daredevils,field,Kings XI Punjab,"(('AM Salvi', 'DA Warner', 'IK Pathan', 'JR Hopes', 'M Morkel', 'NV Ojha', 'S Sriram', 'TR Birt', 'VR Aaron', 'Y Nagar', 'Y Venugopal Rao'), ('AC Gilchrist', 'BA Bhatt', 'DJ Hussey', 'KD Karthik', 'Mandeep Singh', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'RJ Harris', 'SE Marsh', 'SJ Srivastava'))"
2017-05-06,Feroz Shah Kotla,"('Delhi Daredevils', 'Mumbai Indians')",Delhi Daredevils,field,Mumbai Indians,"(('A Mishra', 'CJ Anderson', 'K Rabada', 'KK Nair', 'MN Samuels', 'Mohammed Shami', 'PJ Cummins', 'RR Pant', 'SS Iyer', 'SV Samson', 'Z Khan'), ('HH Pandya', 'Harbhajan Singh', 'JJ Bumrah', 'KA Pollard', 'KV Sharma', 'LMP Simmons', 'MJ McClenaghan', 'N Rana', 'PA Patel', 'RG Sharma', 'SL Malinga'))"
2015-04-16,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Rajasthan Royals,field,Rajasthan Royals,"(('AM Rahane', 'CH Morris', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'PV Tambe', 'SPD Smith', 'STR Binny', 'SV Samson', 'TG Southee'), ('A Ashish Reddy', 'B Kumar', 'DA Warner', 'EJG Morgan', 'KL Rahul', 'KV Sharma', 'NV Ojha', 'P Kumar', 'RS Bopara', 'S Dhawan', 'TA Boult'))"
2013-05-17,"Rajiv Gandhi International Stadium, Uppal","('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"(('AM Rahane', 'BJ Hodge', 'JP Faulkner', 'KK Cooper', 'PV Tambe', 'R Dravid', 'SK Trivedi', 'SR Watson', 'STR Binny', 'SV Samson', 'Sachin Baby'), ('A Mishra', 'BB Samantray', 'CL White', 'DJG Sammy', 'DW Steyn', 'GH Vihari', 'I Sharma', 'KV Sharma', 'NLTC Perera', 'PA Patel', 'S Dhawan'))"
2019-04-07,Sawai Mansingh Stadium,"('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'Kuldeep Yadav', 'M Prasidh Krishna', 'N Rana', 'PP Chawla', 'RV Uthappa', 'SP Narine', 'Shubman Gill'), ('AM Rahane', 'BA Stokes', 'DS Kulkarni', 'JC Archer', 'JC Buttler', 'K Gowtham', 'P Chopra', 'RA Tripathi', 'S Gopal', 'S Midhun', 'SPD Smith'))"
