date,venue,teams,toss_winner,toss_decision,match_winner,players
2013-05-19,Subrata Roy Sahara Stadium,"('Delhi Daredevils', 'Pune Warriors')",Pune Warriors,bat,Pune Warriors,"(('B Chipli', 'BJ Rohrer', 'CM Gautam', 'DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'M Morkel', 'S Kaul', 'S Nadeem', 'UT Yadav', 'V Sehwag'), ('AB Dinda', 'AD Mathews', 'AG Murtaza', 'AJ Finch', 'B Kumar', 'LJ Wright', 'MK Pandey', 'RV Gomez', 'RV Uthappa', 'WD Parnell', 'Yuvraj Singh'))"
2015-04-15,Maharashtra Cricket Association Stadium,"('Delhi Daredevils', 'Kings XI Punjab')",Kings XI Punjab,bat,Delhi Daredevils,"(('A Mishra', 'AD Mathews', 'DJ Muthuswami', 'Imran Tahir', 'JP Duminy', 'KM Jadhav', 'MA Agarwal', 'MK Tiwary', 'NM Coulter-Nile', 'SS Iyer', 'Yuvraj Singh'), ('AR Patel', 'Anureet Singh', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'M Vijay', 'MG Johnson', 'R Dhawan', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'))"
2011-05-14,M Chinnaswamy Stadium,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('B Lee', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JD Unadkat', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MV Boucher', 'R Bhatia', 'YK Pathan'), ('A Mithun', 'AB de Villiers', 'CH Gayle', 'CK Langeveldt', 'KB Arun Karthik', 'LA Pomersbach', 'M Kaif', 'S Aravind', 'SS Tiwary', 'V Kohli', 'Z Khan'))"
2017-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali","('Gujarat Lions', 'Kings XI Punjab')",Gujarat Lions,field,Gujarat Lions,"(('AJ Finch', 'Ankit Soni', 'Basil Thampi', 'DR Smith', 'DS Kulkarni', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'PJ Sangwan', 'RA Jadeja', 'SK Raina'), ('AR Patel', 'GJ Maxwell', 'Gurkeerat Singh', 'HM Amla', 'MJ Guptill', 'MM Sharma', 'SE Marsh', 'Sandeep Sharma', 'T Natarajan', 'VR Aaron', 'WP Saha'))"
2010-04-17,M Chinnaswamy Stadium,"('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Mumbai Indians,"(('AM Nayar', 'AP Tare', 'AT Rayudu', 'CRD Fernando', 'Harbhajan Singh', 'JP Duminy', 'KA Pollard', 'R McLaren', 'SR Tendulkar', 'SS Tiwary', 'Z Khan'), ('A Kumble', 'DW Steyn', 'JH Kallis', 'KP Pietersen', 'LRPL Taylor', 'MK Pandey', 'Pankaj Singh', 'R Dravid', 'R Vinay Kumar', 'RV Uthappa', 'V Kohli'))"
2016-04-26,"Rajiv Gandhi International Stadium, Uppal","('Rising Pune Supergiants', 'Sunrisers Hyderabad')",Rising Pune Supergiants,field,Rising Pune Supergiants,"(('AB Dinda', 'AM Rahane', 'F du Plessis', 'M Ashwin', 'MR Marsh', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'R Bhatia', 'SPD Smith', 'SS Tiwary'), ('A Nehra', 'AP Tare', 'B Kumar', 'Bipul Sharma', 'DA Warner', 'DJ Hooda', 'EJG Morgan', 'MC Henriques', 'Mustafizur Rahman', 'NV Ojha', 'S Dhawan'))"
2024-04-28,"Narendra Modi Stadium, Ahmedabad","('Gujarat Titans', 'Royal Challengers Bengaluru')",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,"(('Azmatullah Omarzai', 'B Sai Sudharsan', 'DA Miller', 'M Shahrukh Khan', 'MM Sharma', 'Noor Ahmad', 'R Sai Kishore', 'R Tewatia', 'Rashid Khan', 'S Sandeep Warrier', 'Shubman Gill', 'WP Saha'), ('C Green', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'KV Sharma', 'Mohammed Siraj', 'RM Patidar', 'Swapnil Singh', 'V Kohli', 'WG Jacks', 'Yash Dayal'))"
2020-10-11,Dubai International Cricket Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Rajasthan Royals,"(('BA Stokes', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'Kartik Tyagi', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson'), ('Abhishek Sharma', 'DA Warner', 'JM Bairstow', 'KK Ahmed', 'KS Williamson', 'MK Pandey', 'PK Garg', 'Rashid Khan', 'Sandeep Sharma', 'T Natarajan', 'V Shankar'))"
2012-04-18,"Punjab Cricket Association Stadium, Mohali","('Kings XI Punjab', 'Kolkata Knight Riders')",Kings XI Punjab,bat,Kolkata Knight Riders,"(('AC Gilchrist', 'AD Mascarenhas', 'BA Bhatt', 'DJ Hussey', 'Harmeet Singh', 'Mandeep Singh', 'P Dogra', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'SE Marsh'), ('B Lee', 'BB McCullum', 'DB Das', 'G Gambhir', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MS Bisla', 'R Bhatia', 'SP Narine', 'YK Pathan'))"
2013-04-25,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'JO Holder', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('A Ashish Reddy', 'A Mishra', 'CL White', 'DJG Sammy', 'DW Steyn', 'GH Vihari', 'I Sharma', 'KV Sharma', 'Q de Kock', 'S Dhawan', 'X Thalaivan Sargunam'))"
2011-04-10,Dr DY Patil Sports Academy,"('Kings XI Punjab', 'Pune Warriors')",Kings XI Punjab,bat,Pune Warriors,"(('AC Gilchrist', 'AM Nayar', 'BA Bhatt', 'KD Karthik', 'NJ Rimmington', 'P Kumar', 'PC Valthaty', 'PP Chawla', 'R McLaren', 'SE Marsh', 'Sunny Singh'), ('AC Thomas', 'GC Smith', 'JD Ryder', 'M Kartik', 'M Manhas', 'MD Mishra', 'R Sharma', 'RV Uthappa', 'SB Wagh', 'WD Parnell', 'Yuvraj Singh'))"
2019-04-28,Eden Gardens,"('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Kolkata Knight Riders,"(('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'N Rana', 'PP Chawla', 'RK Singh', 'RV Uthappa', 'S Sandeep Warrier', 'SP Narine', 'Shubman Gill'), ('BB Sran', 'E Lewis', 'HH Pandya', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2008-04-19,Feroz Shah Kotla,"('Delhi Daredevils', 'Rajasthan Royals')",Rajasthan Royals,bat,Delhi Daredevils,"(('B Geeves', 'DL Vettori', 'G Gambhir', 'GD McGrath', 'KD Karthik', 'M Manhas', 'MF Maharoof', 'MK Tiwary', 'R Bhatia', 'S Dhawan', 'V Sehwag'), ('D Salunkhe', 'DS Lehmann', 'M Kaif', 'M Rawat', 'MM Patel', 'RA Jadeja', 'SK Trivedi', 'SK Warne', 'SR Watson', 'T Kohli', 'YK Pathan'))"
2022-04-09,"Maharashtra Cricket Association Stadium, Pune","('Mumbai Indians', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('Basil Thampi', 'D Brevis', 'Ishan Kishan', 'JD Unadkat', 'JJ Bumrah', 'KA Pollard', 'M Ashwin', 'RG Sharma', 'Ramandeep Singh', 'SA Yadav', 'Tilak Varma'), ('Akash Deep', 'Anuj Rawat', 'DJ Willey', 'F du Plessis', 'GJ Maxwell', 'HV Patel', 'KD Karthik', 'Mohammed Siraj', 'PWH de Silva', 'Shahbaz Ahmed', 'V Kohli'))"
2014-05-19,"Sardar Patel Stadium, Motera","('Mumbai Indians', 'Rajasthan Royals')",Mumbai Indians,bat,Mumbai Indians,"(('AP Tare', 'AT Rayudu', 'Harbhajan Singh', 'JJ Bumrah', 'K Santokie', 'KA Pollard', 'LMP Simmons', 'MEK Hussey', 'PP Ojha', 'RG Sharma', 'S Gopal'), ('Ankit Sharma', 'BJ Hodge', 'DS Kulkarni', 'JP Faulkner', 'KK Cooper', 'KK Nair', 'R Bhatia', 'SR Watson', 'STR Binny', 'SV Samson', 'UBT Chand'))"
2013-04-22,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,bat,Chennai Super Kings,"(('CH Morris', 'DJ Bravo', 'JO Holder', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('A Chandila', 'AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'KK Cooper', 'R Dravid', 'R Shukla', 'SK Trivedi', 'SR Watson', 'STR Binny'))"
2020-10-06,Sheikh Zayed Stadium,"('Mumbai Indians', 'Rajasthan Royals')",Mumbai Indians,bat,Mumbai Indians,"(('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JL Pattinson', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'), ('AS Rajpoot', 'JC Archer', 'JC Buttler', 'Kartik Tyagi', 'MK Lomror', 'R Tewatia', 'S Gopal', 'SPD Smith', 'SV Samson', 'TK Curran', 'YBK Jaiswal'))"
2011-04-17,Eden Gardens,"('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('B Lee', 'EJG Morgan', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'L Balaji', 'MK Tiwary', 'MS Bisla', 'R Bhatia', 'Shakib Al Hasan', 'YK Pathan'), ('A Singh', 'AG Paunikar', 'AL Menaria', 'AM Rahane', 'AS Raut', 'FY Fazal', 'LRPL Taylor', 'SK Trivedi', 'SK Warne', 'SR Watson', 'SW Tait'))"
2010-03-19,Feroz Shah Kotla,"('Chennai Super Kings', 'Delhi Daredevils')",Delhi Daredevils,bat,Chennai Super Kings,"(('JA Morkel', 'JM Kemp', 'Joginder Sharma', 'L Balaji', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'PA Patel', 'R Ashwin', 'S Badrinath', 'SK Raina'), ('A Mishra', 'AB de Villiers', 'DA Warner', 'DP Nannes', 'KD Karthik', 'M Manhas', 'PJ Sangwan', 'R Bhatia', 'TM Dilshan', 'UT Yadav', 'V Sehwag'))"
2019-05-12,Rajiv Gandhi International Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Mumbai Indians,bat,Mumbai Indians,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'Harbhajan Singh', 'Imran Tahir', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson'), ('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2008-04-26,M Chinnaswamy Stadium,"('Rajasthan Royals', 'Royal Challengers Bangalore')",Rajasthan Royals,field,Rajasthan Royals,"(('D Salunkhe', 'GC Smith', 'M Kaif', 'M Rawat', 'MM Patel', 'RA Jadeja', 'SK Trivedi', 'SK Warne', 'SR Watson', 'Sohail Tanvir', 'YK Pathan'), ('A Kumble', 'JH Kallis', 'LRPL Taylor', 'MV Boucher', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'S Chanderpaul', 'SB Joshi', 'V Kohli', 'Z Khan'))"
2022-04-16,"Brabourne Stadium, Mumbai","('Lucknow Super Giants', 'Mumbai Indians')",Mumbai Indians,field,Lucknow Super Giants,"(('A Badoni', 'Avesh Khan', 'DJ Hooda', 'JO Holder', 'KH Pandya', 'KL Rahul', 'MK Pandey', 'MP Stoinis', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'), ('D Brevis', 'FA Allen', 'Ishan Kishan', 'JD Unadkat', 'JJ Bumrah', 'KA Pollard', 'M Ashwin', 'RG Sharma', 'SA Yadav', 'TS Mills', 'Tilak Varma'))"
2014-05-12,"Rajiv Gandhi International Stadium, Uppal","('Mumbai Indians', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Mumbai Indians,"(('AP Tare', 'AT Rayudu', 'CJ Anderson', 'CM Gautam', 'Harbhajan Singh', 'JJ Bumrah', 'KA Pollard', 'LMP Simmons', 'PP Ojha', 'RG Sharma', 'SL Malinga'), ('A Mishra', 'AJ Finch', 'B Kumar', 'DA Warner', 'DW Steyn', 'IK Pathan', 'KL Rahul', 'KV Sharma', 'MC Henriques', 'NV Ojha', 'S Dhawan'))"
2015-04-18,Maharashtra Cricket Association Stadium,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AR Patel', 'Anureet Singh', 'GJ Bailey', 'GJ Maxwell', 'Gurkeerat Singh', 'M Vijay', 'MG Johnson', 'NLTC Perera', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'), ('AD Russell', 'G Gambhir', 'M Morkel', 'MK Pandey', 'PP Chawla', 'RN ten Doeschate', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2020-10-20,Dubai International Cricket Stadium,"('Delhi Capitals', 'Kings XI Punjab')",Delhi Capitals,bat,Kings XI Punjab,"(('AR Patel', 'DR Sams', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer', 'TU Deshpande'), ('Arshdeep Singh', 'CH Gayle', 'DJ Hooda', 'GJ Maxwell', 'JDS Neesham', 'KL Rahul', 'M Ashwin', 'MA Agarwal', 'Mohammed Shami', 'N Pooran', 'Ravi Bishnoi'))"
2012-05-15,Feroz Shah Kotla,"('Delhi Daredevils', 'Kings XI Punjab')",Kings XI Punjab,bat,Delhi Daredevils,"(('DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'LRPL Taylor', 'M Morkel', 'NV Ojha', 'P Negi', 'UT Yadav', 'V Sehwag', 'VR Aaron', 'Y Venugopal Rao'), ('Azhar Mahmood', 'DA Miller', 'DJ Hussey', 'Gurkeerat Singh', 'Harmeet Singh', 'Mandeep Singh', 'N Saini', 'P Awana', 'P Kumar', 'PP Chawla', 'SE Marsh'))"
2013-05-22,Feroz Shah Kotla,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Rajasthan Royals,"(('AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'KK Cooper', 'R Dravid', 'SK Trivedi', 'SR Watson', 'STR Binny', 'SV Samson', 'VS Malik'), ('A Mishra', 'BB Samantray', 'CL White', 'DJG Sammy', 'DW Steyn', 'GH Vihari', 'I Sharma', 'KV Sharma', 'NLTC Perera', 'PA Patel', 'S Dhawan'))"
2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha","('Deccan Chargers', 'Rajasthan Royals')",Rajasthan Royals,bat,Rajasthan Royals,"(('A Symonds', 'AA Bilakhia', 'AC Gilchrist', 'Anirudh Singh', 'DR Smith', 'Harmeet Singh', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'VVS Laxman'), ('AA Jhunjhunwala', 'AP Dole', 'AS Raut', 'FY Fazal', 'M Morkel', 'MJ Lumb', 'NV Ojha', 'SK Trivedi', 'SK Warne', 'SR Watson', 'YK Pathan'))"
2017-04-27,M Chinnaswamy Stadium,"('Gujarat Lions', 'Royal Challengers Bangalore')",Gujarat Lions,field,Gujarat Lions,"(('AJ Finch', 'AJ Tye', 'Ankit Soni', 'BB McCullum', 'Basil Thampi', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'NB Singh', 'RA Jadeja', 'SK Raina'), ('A Choudhary', 'AB de Villiers', 'CH Gayle', 'KM Jadhav', 'Mandeep Singh', 'P Negi', 'S Aravind', 'S Badree', 'TM Head', 'V Kohli', 'YS Chahal'))"
2008-05-31,Wankhede Stadium,"('Chennai Super Kings', 'Kings XI Punjab')",Kings XI Punjab,bat,Chennai Super Kings,"(('CK Kapugedera', 'JA Morkel', 'L Balaji', 'M Muralitharan', 'M Ntini', 'MS Dhoni', 'MS Gony', 'PA Patel', 'S Badrinath', 'S Vidyut', 'SK Raina'), ('DPMD Jayawardene', 'IK Pathan', 'JR Hopes', 'KC Sangakkara', 'PP Chawla', 'RR Powar', 'S Sreesanth', 'SE Marsh', 'VRV Singh', 'WA Mota', 'Yuvraj Singh'))"
2011-05-05,"Rajiv Gandhi International Stadium, Uppal","('Deccan Chargers', 'Delhi Daredevils')",Delhi Daredevils,field,Delhi Daredevils,"(('A Mishra', 'B Chipli', 'DB Ravi Teja', 'DT Christian', 'DW Steyn', 'I Malhotra', 'I Sharma', 'JP Duminy', 'KC Sangakkara', 'S Dhawan', 'S Sohal'), ('AB Agarkar', 'AJ Finch', 'AM Salvi', 'IK Pathan', 'JR Hopes', 'M Morkel', 'NV Ojha', 'TR Birt', 'V Sehwag', 'Y Nagar', 'Y Venugopal Rao'))"
2021-10-03,Dubai International Cricket Stadium,"('Kolkata Knight Riders', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Kolkata Knight Riders,"(('CV Varun', 'EJG Morgan', 'KD Karthik', 'N Rana', 'RA Tripathi', 'SP Narine', 'Shakib Al Hasan', 'Shivam Mavi', 'Shubman Gill', 'TG Southee', 'VR Iyer'), ('Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'JJ Roy', 'JO Holder', 'KS Williamson', 'PK Garg', 'Rashid Khan', 'S Kaul', 'Umran Malik', 'WP Saha'))"
2024-05-08,"Rajiv Gandhi International Stadium, Uppal, Hyderabad","('Lucknow Super Giants', 'Sunrisers Hyderabad')",Lucknow Super Giants,bat,Sunrisers Hyderabad,"(('A Badoni', 'DJ Hooda', 'K Gowtham', 'KH Pandya', 'KL Rahul', 'MP Stoinis', 'N Pooran', 'Naveen-ul-Haq', 'Q de Kock', 'Ravi Bishnoi', 'Yash Thakur'), ('Abdul Samad', 'Abhishek Sharma', 'B Kumar', 'H Klaasen', 'JD Unadkat', 'Nithish Kumar Reddy', 'PJ Cummins', 'Sanvir Singh', 'Shahbaz Ahmed', 'T Natarajan', 'TM Head', 'V Viyaskanth'))"
2016-05-01,Saurashtra Cricket Association Stadium,"('Gujarat Lions', 'Kings XI Punjab')",Gujarat Lions,field,Kings XI Punjab,"(('BB McCullum', 'DJ Bravo', 'DR Smith', 'DS Kulkarni', 'Ishan Kishan', 'JP Faulkner', 'KD Karthik', 'P Kumar', 'RA Jadeja', 'S Kaushik', 'SK Raina'), ('AR Patel', 'DA Miller', 'GJ Maxwell', 'Gurkeerat Singh', 'KC Cariappa', 'M Vijay', 'MM Sharma', 'MP Stoinis', 'SE Marsh', 'Sandeep Sharma', 'WP Saha'))"
2018-04-07,Wankhede Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'Harbhajan Singh', 'Imran Tahir', 'KM Jadhav', 'MA Wood', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SR Watson'), ('E Lewis', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'M Markande', 'MJ McClenaghan', 'Mustafizur Rahman', 'RG Sharma', 'SA Yadav'))"
2025-04-18,"M Chinnaswamy Stadium, Bengaluru","('Punjab Kings', 'Royal Challengers Bengaluru')",Punjab Kings,field,Punjab Kings,"(('Arshdeep Singh', 'Harpreet Brar', 'JP Inglis', 'M Jansen', 'MP Stoinis', 'N Wadhera', 'P Simran Singh', 'Priyansh Arya', 'SS Iyer', 'Shashank Singh', 'XC Bartlett', 'YS Chahal'), ('B Kumar', 'JM Sharma', 'JR Hazlewood', 'KH Pandya', 'LS Livingstone', 'MS Bhandage', 'PD Salt', 'RM Patidar', 'Suyash Sharma', 'TH David', 'V Kohli', 'Yash Dayal'))"
2011-05-02,Feroz Shah Kotla,"('Delhi Daredevils', 'Kochi Tuskers Kerala')",Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,"(('AB Agarkar', 'DA Warner', 'IK Pathan', 'M Morkel', 'NV Ojha', 'RE van der Merwe', 'TR Birt', 'UT Yadav', 'V Sehwag', 'Y Nagar', 'Y Venugopal Rao'), ('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'M Klinger', 'P Parameswaran', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RV Gomez', 'S Sreesanth'))"
2012-04-08,Sawai Mansingh Stadium,"('Kolkata Knight Riders', 'Rajasthan Royals')",Kolkata Knight Riders,field,Rajasthan Royals,"(('B Lee', 'BB McCullum', 'DB Das', 'G Gambhir', 'Iqbal Abdulla', 'JH Kallis', 'LR Shukla', 'MK Tiwary', 'R Bhatia', 'SP Narine', 'YK Pathan'), ('A Singh', 'AA Chavan', 'AL Menaria', 'AM Rahane', 'BJ Hodge', 'J Botha', 'KK Cooper', 'OA Shah', 'R Dravid', 'SK Trivedi', 'SP Goswami'))"
2020-10-24,Sheikh Zayed Stadium,"('Delhi Capitals', 'Kolkata Knight Riders')",Delhi Capitals,field,Kolkata Knight Riders,"(('A Nortje', 'AM Rahane', 'AR Patel', 'K Rabada', 'MP Stoinis', 'R Ashwin', 'RR Pant', 'S Dhawan', 'SO Hetmyer', 'SS Iyer', 'TU Deshpande'), ('CV Varun', 'EJG Morgan', 'KD Karthik', 'KL Nagarkoti', 'LH Ferguson', 'M Prasidh Krishna', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'SP Narine', 'Shubman Gill'))"
2019-04-25,Eden Gardens,"('Kolkata Knight Riders', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('AD Russell', 'CA Lynn', 'CR Brathwaite', 'KD Karthik', 'M Prasidh Krishna', 'N Rana', 'PP Chawla', 'RK Singh', 'SP Narine', 'Shubman Gill', 'Y Prithvi Raj'), ('AM Rahane', 'BA Stokes', 'JC Archer', 'JD Unadkat', 'O Thomas', 'R Parag', 'S Gopal', 'SPD Smith', 'STR Binny', 'SV Samson', 'VR Aaron'))"
2008-05-11,Sawai Mansingh Stadium,"('Delhi Daredevils', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('A Mishra', 'AB de Villiers', 'G Gambhir', 'GD McGrath', 'KD Karthik', 'MF Maharoof', 'PJ Sangwan', 'S Dhawan', 'TM Dilshan', 'V Sehwag', 'VY Mahesh'), ('AD Mascarenhas', 'GC Smith', 'M Kaif', 'M Rawat', 'MM Patel', 'Niraj Patel', 'RA Jadeja', 'SK Trivedi', 'SK Warne', 'SR Watson', 'YK Pathan'))"
2012-04-29,Feroz Shah Kotla,"('Delhi Daredevils', 'Rajasthan Royals')",Delhi Daredevils,bat,Delhi Daredevils,"(('AB Agarkar', 'DPMD Jayawardene', 'IK Pathan', 'KP Pietersen', 'LRPL Taylor', 'M Morkel', 'NV Ojha', 'S Nadeem', 'UT Yadav', 'V Sehwag', 'Y Nagar'), ('A Singh', 'AA Chavan', 'AL Menaria', 'AM Rahane', 'BJ Hodge', 'GB Hogg', 'KK Cooper', 'OA Shah', 'Pankaj Singh', 'R Dravid', 'SP Goswami'))"
2009-05-11,De Beers Diamond Oval,"('Deccan Chargers', 'Rajasthan Royals')",Deccan Chargers,bat,Deccan Chargers,"(('A Symonds', 'AC Gilchrist', 'DB Ravi Teja', 'DR Smith', 'PP Ojha', 'RG Sharma', 'RP Singh', 'Shoaib Ahmed', 'TL Suman', 'WPUJC Vaas', 'Y Venugopal Rao'), ('AS Raut', 'GC Smith', 'LA Carseldine', 'M Morkel', 'MM Patel', 'NV Ojha', 'RA Jadeja', 'SA Asnodkar', 'SK Trivedi', 'SK Warne', 'YK Pathan'))"
2021-04-11,"MA Chidambaram Stadium, Chepauk, Chennai","('Kolkata Knight Riders', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Kolkata Knight Riders,"(('AD Russell', 'CV Varun', 'EJG Morgan', 'Harbhajan Singh', 'KD Karthik', 'M Prasidh Krishna', 'N Rana', 'PJ Cummins', 'RA Tripathi', 'Shakib Al Hasan', 'Shubman Gill'), ('Abdul Samad', 'B Kumar', 'DA Warner', 'JM Bairstow', 'MK Pandey', 'Mohammad Nabi', 'Rashid Khan', 'Sandeep Sharma', 'T Natarajan', 'V Shankar', 'WP Saha'))"
2023-05-11,"Eden Gardens, Kolkata","('Kolkata Knight Riders', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('AD Russell', 'AS Roy', 'CV Varun', 'Harshit Rana', 'JJ Roy', 'N Rana', 'RK Singh', 'Rahmanullah Gurbaz', 'SN Thakur', 'SP Narine', 'Suyash Sharma', 'VR Iyer'), ('Dhruv Jurel', 'JC Buttler', 'JE Root', 'KM Asif', 'R Ashwin', 'SO Hetmyer', 'SV Samson', 'Sandeep Sharma', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2016-05-10,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"('Rising Pune Supergiants', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"(('A Zampa', 'AB Dinda', 'AM Rahane', 'GJ Bailey', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'R Bhatia', 'RP Singh', 'SS Tiwary', 'UT Khawaja'), ('A Nehra', 'B Kumar', 'BB Sran', 'DA Warner', 'DJ Hooda', 'KS Williamson', 'MC Henriques', 'Mustafizur Rahman', 'NV Ojha', 'S Dhawan', 'Yuvraj Singh'))"
2023-03-31,"Narendra Modi Stadium, Ahmedabad","('Chennai Super Kings', 'Gujarat Titans')",Gujarat Titans,field,Gujarat Titans,"(('AT Rayudu', 'BA Stokes', 'DL Chahar', 'DP Conway', 'MJ Santner', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'RS Hangargekar', 'S Dube', 'TU Deshpande'), ('AS Joseph', 'B Sai Sudharsan', 'HH Pandya', 'J Little', 'KS Williamson', 'Mohammed Shami', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'V Shankar', 'WP Saha', 'Yash Dayal'))"
2008-05-03,"Punjab Cricket Association Stadium, Mohali","('Kings XI Punjab', 'Kolkata Knight Riders')",Kings XI Punjab,bat,Kings XI Punjab,"(('DPMD Jayawardene', 'Gagandeep Singh', 'IK Pathan', 'JR Hopes', 'K Goel', 'KC Sangakkara', 'PP Chawla', 'S Sreesanth', 'SE Marsh', 'VRV Singh', 'Yuvraj Singh'), ('AB Agarkar', 'AB Dinda', 'BJ Hodge', 'DB Das', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'Mohammad Hafeez', 'SC Ganguly', 'Umar Gul', 'WP Saha'))"
